 0.6800000E+01  0.1701253+156  0.3316308+156  0.5036545+156  0.9740586+156  0.1725345+157  0.2641499+157  0.3649602+157  0.4695647+157  0.5709597+157  0.6577154+157  0.7136477+157  0.7231279+157  0.6821749+157  0.5994594+157  0.4783758+157  0.3366257+157  0.2008353+157  0.9359792+156  0.2760328+156  0.1990615+155
 0.7000000E+01  0.1690759+156  0.3238666+156  0.4748564+156  0.9514579+156  0.1735405+157  0.2695055+157  0.3747675+157  0.4831211+157  0.5868430+157  0.6738908+157  0.7278410+157  0.7336888+157  0.6889047+157  0.6029130+157  0.4791958+157  0.3351385+157  0.1977771+157  0.9029135+156  0.2537704+156  0.1369258+155
 0.7200000E+01  0.1683897+156  0.3178999+156  0.4456755+156  0.9271730+156  0.1745031+157  0.2750478+157  0.3850262+157  0.4973476+157  0.6035060+157  0.6908186+157  0.7426492+157  0.7446925+157  0.6959125+157  0.6064534+157  0.4799671+157  0.3335422+157  0.1946202+157  0.8695490+156  0.2320281+156  0.1060059+155
 0.7400000E+01  0.1680050+156  0.3138787+156  0.4163191+156  0.9010646+156  0.1754102+157  0.2807755+157  0.3957504+157  0.5122713+157  0.6209810+157  0.7085278+157  0.7580935+157  0.7561519+157  0.7032014+157  0.6100760+157  0.4806803+157  0.3318294+157  0.1913639+157  0.8359567+156  0.2109659+156  0.1247054+155
 0.7600000E+01  0.1678538+156  0.3119078+156  0.3870806+156  0.8729864+156  0.1762500+157  0.2866878+157  0.4069552+157  0.5279213+157  0.6393026+157  0.7270495+157  0.7741963+157  0.7680804+157  0.7107745+157  0.6137760+157  0.4813258+157  0.3299924+157  0.1880072+157  0.8022142+156  0.1907798+156  0.1734181+155
 0.7800000E+01  0.1678635+156  0.3120391+156  0.3583765+156  0.8427864+156  0.1770105+157  0.2927841+157  0.4186575+157  0.5443289+157  0.6585080+157  0.7464171+157  0.7909817+157  0.7804923+157  0.7186349+157  0.6175478+157  0.4818935+157  0.3280234+157  0.1845499+157  0.7684073+156  0.1717164+156  0.2305217+155
 0.8000000E+01  0.1679597+156  0.3142664+156  0.3307995+156  0.8103085+156  0.1776802+157  0.2990649+157  0.4308756+157  0.5615279+157  0.6786371+157  0.7666660+157  0.8084757+157  0.7934027+157  0.7267853+157  0.6213856+157  0.4823728+157  0.3259144+157  0.1809918+157  0.7346312+156  0.1540906+156  0.2882187+155
 0.8200000E+01  0.1680675+156  0.3185257+156  0.3051879+156  0.7753963+156  0.1782485+157  0.3055316+157  0.4436296+157  0.5795544+157  0.6997325+157  0.7878346+157  0.8267059+157  0.8068278+157  0.7352285+157  0.6252834+157  0.4827528+157  0.3236574+157  0.1773331+157  0.7009923+156  0.1383049+156  0.3437955+155
 0.8400000E+01  0.1681134+156  0.3247014+156  0.2826999+156  0.7378977+156  0.1787058+157  0.3121870+157  0.4569418+157  0.5984479+157  0.7218401+157  0.8099638+157  0.8457020+157  0.8207846+157  0.7439674+157  0.6292346+157  0.4830224+157  0.3212445+157  0.1735747+157  0.6676101+156  0.1248598+156  0.3960930+155
 0.8600000E+01  0.1680263+156  0.3326370+156  0.2648571+156  0.6976727+156  0.1790446+157  0.3190355+157  0.4708366+157  0.6182503+157  0.7450090+157  0.8330974+157  0.8654961+157  0.8352912+157  0.7530046+157  0.6332323+157  0.4831700+157  0.3186677+157  0.1697177+157  0.6346202+156  0.1143301+156  0.4445156+155
