 0.2900000E+01  0.2183029E+01  0.1477178E+01  0.9553947E+00  0.5793672E+00  0.3184241E+00  0.1480664E+00  0.4876742E-01  0.4996108E-02  0.4425376E-02  0.3729285E-01  0.9588548E-01  0.1741251E+00  0.2672355E+00  0.3714761E+00  0.4839281E+00  0.6023242E+00
 0.3000000E+01  0.2257660E+01  0.1527782E+01  0.9881767E+00  0.5992704E+00  0.3293717E+00  0.1531585E+00  0.5044311E-01  0.5165525E-02  0.4577105E-02  0.3858046E-01  0.9919719E-01  0.1801396E+00  0.2764667E+00  0.3843087E+00  0.5006458E+00  0.6231323E+00
 0.3100000E+01  0.2332225E+01  0.1578354E+01  0.1020942E+01  0.6191660E+00  0.3403160E+00  0.1582492E+00  0.5211819E-01  0.5334652E-02  0.4728745E-02  0.3986824E-01  0.1025094E+00  0.1861551E+00  0.2856996E+00  0.3971436E+00  0.5173666E+00  0.6439444E+00
 0.3200000E+01  0.2406722E+01  0.1628890E+01  0.1053691E+01  0.6390537E+00  0.3512569E+00  0.1633386E+00  0.5379265E-01  0.5503477E-02  0.4880292E-02  0.4115619E-01  0.1058222E+00  0.1921718E+00  0.2949341E+00  0.4099809E+00  0.5340906E+00  0.6647605E+00
 0.3300000E+01  0.2481150E+01  0.1679390E+01  0.1086422E+01  0.6589333E+00  0.3621943E+00  0.1684264E+00  0.5546646E-01  0.5671993E-02  0.5031745E-02  0.4244432E-01  0.1091356E+00  0.1981895E+00  0.3041705E+00  0.4228207E+00  0.5508179E+00  0.6855807E+00
 0.3400000E+01  0.2555506E+01  0.1729854E+01  0.1119134E+01  0.6788045E+00  0.3731280E+00  0.1735128E+00  0.5713961E-01  0.5840189E-02  0.5183100E-02  0.4373263E-01  0.1124496E+00  0.2042084E+00  0.3134086E+00  0.4356631E+00  0.5675486E+00  0.7064052E+00
 0.3500000E+01  0.2629789E+01  0.1780279E+01  0.1151829E+01  0.6986671E+00  0.3840580E+00  0.1785975E+00  0.5881208E-01  0.6008056E-02  0.5334355E-02  0.4502113E-01  0.1157642E+00  0.2102285E+00  0.3226486E+00  0.4485082E+00  0.5842828E+00  0.7272341E+00
 0.3600000E+01  0.2703996E+01  0.1830666E+01  0.1184504E+01  0.7185209E+00  0.3949842E+00  0.1836807E+00  0.6048384E-01  0.6175584E-02  0.5485505E-02  0.4630982E-01  0.1190794E+00  0.2162497E+00  0.3318905E+00  0.4613560E+00  0.6010206E+00  0.7480676E+00
 0.3700000E+01  0.2778125E+01  0.1881012E+01  0.1217159E+01  0.7383655E+00  0.4059064E+00  0.1887622E+00  0.6215488E-01  0.6342763E-02  0.5636548E-02  0.4759871E-01  0.1223952E+00  0.2222722E+00  0.3411344E+00  0.4742066E+00  0.6177621E+00  0.7689058E+00
 0.3800000E+01  0.2852173E+01  0.1931317E+01  0.1249794E+01  0.7582008E+00  0.4168245E+00  0.1938420E+00  0.6382517E-01  0.6509583E-02  0.5787481E-02  0.4888781E-01  0.1257118E+00  0.2282960E+00  0.3503803E+00  0.4870601E+00  0.6345075E+00  0.7897487E+00
 0.3900000E+01  0.2926140E+01  0.1981579E+01  0.1282408E+01  0.7780265E+00  0.4277385E+00  0.1989201E+00  0.6549471E-01  0.6676036E-02  0.5938301E-02  0.5017712E-01  0.1290290E+00  0.2343211E+00  0.3596283E+00  0.4999165E+00  0.6512568E+00  0.8105966E+00
 0.4000000E+01  0.3000023E+01  0.2031799E+01  0.1315001E+01  0.7978423E+00  0.4386482E+00  0.2039964E+00  0.6716346E-01  0.6842112E-02  0.6089004E-02  0.5146664E-01  0.1323469E+00  0.2403475E+00  0.3688785E+00  0.5127760E+00  0.6680101E+00  0.8314496E+00
 0.4100000E+01  0.3073819E+01  0.2081973E+01  0.1347572E+01  0.8176480E+00  0.4495535E+00  0.2090708E+00  0.6883140E-01  0.7007800E-02  0.6239589E-02  0.5275638E-01  0.1356655E+00  0.2463754E+00  0.3781308E+00  0.5256386E+00  0.6847676E+00  0.8523077E+00
 0.4200000E+01  0.3147527E+01  0.2132102E+01  0.1380121E+01  0.8374434E+00  0.4604544E+00  0.2141434E+00  0.7049853E-01  0.7173092E-02  0.6390050E-02  0.5404635E-01  0.1389848E+00  0.2524046E+00  0.3873854E+00  0.5385044E+00  0.7015293E+00  0.8731712E+00
